k	mean
1	9.9
2	18.0
3	22.9
4	35.1
5	34.2
6	29.6
7	30.7
8	30.9
9	22.4
10	18.7
11	18.1
12	13.0
13	18.0
14	12.4
15	9.2
16	8.5
17	10.6
18	6.0
19	4.2
20	4.1
21	5.0
22	3.0
23	2.55555555556
24	2.25
25	2.11111111111
26	2.55555555556
27	1.5
28	1.625
29	1.3
30	1.33333333333
31	1.4
32	2.11111111111
33	1.71428571429
34	1.42857142857
35	1.28571428571
36	1.33333333333
37	2.0
38	1.4
39	1.16666666667
40	1.33333333333
41	2.2
42	1.33333333333
43	1.6
44	1.25
45	1.33333333333
46	1.33333333333
47	1.4
48	1.33333333333
49	2.0
50	2.0
51	1.33333333333
52	1.5
53	1.0
54	1.0
55	1.33333333333
56	1.0
57	1.14285714286
58	1.33333333333
59	1.0
60	1.14285714286
61	1.5
62	1.2
63	1.66666666667
64	1.66666666667
65	1.25
66	1.0
67	1.75
68	1.0
69	1.0
70	1.0
71	1.25
72	1.0
73	1.0
74	2.5
75	1.4
76	1.2
78	1.0
79	1.0
80	1.0
81	1.0
82	1.0
83	1.0
84	1.5
85	1.5
86	1.5
87	1.0
91	1.0
92	1.0
93	1.0
95	1.0
96	1.0
97	1.0
98	1.0
101	1.0
103	1.0
108	1.0
